BCW-200828	Rahnella
BCW-200902	Agrobacterium
BCW-200903	unassigned
BCW-200904	Agrobacterium
BCW-200910	Agrobacterium
BCW-200912	unassigned
BCW-200920	Agrobacterium
BCW-200983	Citrobacter
BCW-200984	Citrobacter
BCW-200989	Lelliottia
BCW-200993	Herbaspirillum
BCW-201051	Serratia
BCW-201054	Serratia
BCW-201058	Metakosakonia
BCW-201059	Rahnella
BCW-201070	Rahnella
BCW-201075	Raoultella
BCW-201078	Raoultella
BCW-201079	Serratia
BCW-201081	Pantoea
BCW-201082	unassigned
BCW-201083	Citrobacter
BCW-201085	Serratia
BCW-201088	Rahnella
BCW-201091	Rahnella
BCW-201097	unassigned
BCW-201098	Raoultella
BCW-201107	Raoultella
BCW-201152	Citrobacter
BCW-201153	Serratia
BCW-201154	Citrobacter
BCW-201155	Metakosakonia
BCW-201162	Rahnella
BCW-201173	Escherichia
BCW-201184	Rahnella
BCW-201185	Serratia
BCW-201238	Serratia
BCW-201245	Rahnella
BCW-201248	Rahnella
BCW-201257	Serratia
BCW-201259	Rahnella
BCW-201290	Pseudomonas
BCW-201292	Pseudomonas
BCW-201293	Pseudomonas
BCW-201297	Rahnella
BCW-201302	Rahnella
BCW-201303	Rahnella
BCW-201304	Rahnella
BCW-201350	Serratia
BCW-201444	Atlantibacter
BCW-201445	Atlantibacter
BCW-201614	Raoultella
BCW-201615	Raoultella
BCW-201620	Raoultella
BCW-201653	Serratia
BCW-201662	Serratia
BCW-201703	Raoultella
BCW-201808	Metakosakonia
BCW-201809	Serratia
BCW-201811	unassigned
BCW-201813	
BCW-201815	
BCW-201818	
BCW-201819	Curtobacterium
BCW-201823	
BCW-201824	
BCW-201825	
BCW-201827	Pantoea
BCW-201828	Metakosakonia
BCW-201830	
BCW-201832	unassigned
BCW-201833	Pantoea
BCW-201834	
BCW-201835	Staphylococcus
BCW-201836	
BCW-201838	unassigned
BCW-201840	
BCW-201842	Curtobacterium
BCW-201844	unassigned
BCW-201845	unassigned
BCW-201850	Metakosakonia
BCW-201856	
BCW-201858	Metakosakonia
BCW-201859	Pseudomonas
BCW-201860	
BCW-201862	Pseudomonas
BCW-201864	Pantoea
BCW-201867	Pantoea
BCW-201868	Pseudomonas
BCW-201870	Agrobacterium
BCW-201872	unassigned
BCW-201873	Metakosakonia
BCW-201875	Pseudomonas
BCW-201876	Metakosakonia
BCW-201877	unassigned
BCW-201878	unassigned
BCW-201879	Metakosakonia
BCW-201880	unassigned
BCW-201882	unassigned
BCW-201884	unassigned
BCW-201885	unassigned
BCW-201886	Metakosakonia
BCW-201887	Metakosakonia
BCW-201888	Metakosakonia
BCW-201889	unassigned
BCW-201891	unassigned
BCW-201894	
BCW-201895	unassigned
BCW-201896	Curtobacterium
BCW-201899	unassigned
BCW-201902	unassigned
BCW-201903	unassigned
BCW-201909	Pantoea
BCW-201910	Pantoea
BCW-201911	
BCW-201914	unassigned
BCW-201915	
BCW-201916	
BCW-201917	Pantoea
BCW-201919	
BCW-201937	Metakosakonia
BCW-201938	unassigned
BCW-201939	Pantoea
BCW-201945	unassigned
BCW-201947	Pseudomonas
BCW-201954	
BCW-201957	unassigned
BCW-201972	Metakosakonia
BCW-201975	unassigned
BCW-201990	Metakosakonia
BCW-201997	Pantoea
BCW-202001	Pantoea
BCW-202005	unassigned
BCW-202006	unassigned
